tariff_type,company,standing_charge (EUR/year),export_rate (EUR/kWh),weekday_day,weekday_peak,weekday_night,weekend_day,weekend_peak,weekend_night
standard,Electric Ireland,282.88,0.195,0.311,0.3318,0.1634,0.311,0.3318,0.1634
standard,Bord Gáis Energy,276.01,0.185,0.3023,0.3679,0.2231,0.3023,0.3679,0.2231
standard,SSE Airtricity,297.53,0.195,0.2829,0.3169,0.1818,0.2829,0.3169,0.1818
standard,Energia,301.02,0.185,0.2696,0.3028,0.1482,0.2696,0.3028,0.1482
flat_rate,Market Average,289.36,0.19,0.2737,0.2737,0.2737,0.2737,0.2737,0.2737
